protein.Entry_protein.Accession,protein.Description,c1,c2,c3,r1,r2,r3,rt1,rt2,rt3,t1,t2,t3,Present_NumFiles 
RLA1_HUMAN_P05386,60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1,0.133,0.3022,0.0474,0.3566,0.5057,0.5414,0.7711,0.1689,0.2799,0.3635,0.2991,0.1733,12
GFPT2_HUMAN_O94808,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 OS=Homo sapiens GN=GFPT2 PE=1 SV=3,0.2007,0.1967,0.0245,0.5509,0.5331,0.4891,0.8069,0.7484,0.5512,0.1968,0.1596,0.1345,12
PLAP_HUMAN_Q9Y263,Phospholipase A-2-activating protein OS=Homo sapiens GN=PLAA PE=1 SV=2,10.9543,0.5064,1.1758,0.3899,0.5801,0.4726,0.5759,0.6398,1.2179,0.4923,2.5917,2.9684,12
RB11B_HUMAN_Q15907,Ras-related protein Rab-11B OS=Homo sapiens GN=RAB11B PE=1 SV=4,0.4382,0.3496,0.4154,0.3503,0.4361,0.4038,0.4065,0.402,0.3351,0.3708,0.3362,0.2644,12
TCOF_HUMAN_Q13428,Treacle protein OS=Homo sapiens GN=TCOF1 PE=1 SV=3,2.483,2.0073,2.654,2.089,1.8412,2.0483,1.6691,2.1768,1.6232,1.6609,1.6695,1.6689,12
KHDR1_HUMAN_Q07666,KH domain-containing_ RNA-binding_ signal transduction-associated protein 1 OS=Homo sapiens GN=KHDRBS1 PE=1 SV=1,0.4662,0.8788,0.9043,0.6663,0.8077,0.8671,0.8729,0.9455,0.7893,0.8097,0.8681,0.7155,12
PSMD6_HUMAN_Q15008,26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens GN=PSMD6 PE=1 SV=1,0.8917,0.7315,1.4797,0.6431,0.6704,0.6854,0.8004,0.763,0.6059,0.7391,0.6755,0.5406,12
GID8_HUMAN_Q9NWU2,Glucose-induced degradation protein 8 homolog OS=Homo sapiens GN=GID8 PE=1 SV=1,0.2405,0.0952,0.0935,0.1282,0.1975,0.1496,0.1002,0.0686,0.0969,0.1188,0.0765,0.1679,12
IMA1_HUMAN_P52292,Importin subunit alpha-1 OS=Homo sapiens GN=KPNA2 PE=1 SV=1,1.9701,2.0835,2.4233,1.5698,1.9276,1.8077,1.9973,1.9289,1.5071,1.8773,1.8404,1.5645,12
EIF3F_HUMAN_O00303,Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=1 SV=1,1.0343,1.0572,0.7892,0.6087,0.6914,0.6322,0.8318,0.7318,0.574,0.6751,0.6942,0.6907,12
S10AD_HUMAN_Q99584,Protein S100-A13 OS=Homo sapiens GN=S100A13 PE=1 SV=1,0.0718,0.0943,0.0844,0.1018,0.1053,0.0926,0.1182,0.1496,0.1072,0.0884,0.0929,0.0694,12
NOP56_HUMAN_O00567,Nucleolar protein 56 OS=Homo sapiens GN=NOP56 PE=1 SV=4,0.8834,0.7623,1.0157,0.4943,0.8785,0.8452,0.7335,0.9027,0.6464,0.6485,0.7085,0.8248,12
ROA3_HUMAN_P51991,Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=1 SV=2,1.3096,1.1863,0.9979,1.0074,1.139,1.0603,1.2055,1.2793,0.9081,1.1377,1.1525,1.0693,12
AIMP1_HUMAN_Q12904,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens GN=AIMP1 PE=1 SV=2,0.1899,0.2492,0.1934,0.3931,0.3383,0.2434,0.4136,0.2212,0.242,0.2938,0.271,0.2373,12
CLCB_HUMAN_P09497,Clathrin light chain B OS=Homo sapiens GN=CLTB PE=1 SV=1,0.189,0.2621,0.0393,0.2422,0.2525,0.3135,0.2897,0.2618,0.2631,0.3033,0.3036,0.2341,12
CAN2_HUMAN_P17655,Calpain-2 catalytic subunit OS=Homo sapiens GN=CAPN2 PE=1 SV=6,0.8714,1.7175,0.9177,1.2356,1.4286,1.1118,1.3817,1.009,0.9195,0.9383,0.9478,0.7823,12
1433T_HUMAN_P27348,14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1,2.0959,1.906,1.8267,1.3064,1.5723,1.5595,1.6837,1.6947,1.2406,1.6269,1.5626,1.4104,12
RL6_HUMAN_Q02878,60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3,2.3922,1.8924,2.5164,1.3485,1.6258,1.5402,1.6974,2.0769,1.4945,1.6599,1.7126,1.4893,12
H1X_HUMAN_Q92522,Histone H1x OS=Homo sapiens GN=H1FX PE=1 SV=1,0.1555,0.2072,0.2159,0.051,0.0848,0.0899,0.0561,0.068,0.0613,0.0828,0.0745,0.1041,12
SMU1_HUMAN_Q2TAY7,WD40 repeat-containing protein SMU1 OS=Homo sapiens GN=SMU1 PE=1 SV=2,0.411,0.3294,0.3182,0.1927,0.221,0.257,0.2272,1.1232,0.1855,0.3882,0.3711,0.3429,12
BOP1_HUMAN_Q14137,Ribosome biogenesis protein BOP1 OS=Homo sapiens GN=BOP1 PE=1 SV=2,0.1832,0.3107,0.2406,0.3397,0.4712,0.3036,0.2654,0.2372,0.2686,0.2326,0.2559,0.199,12
EMD_HUMAN_P50402,Emerin OS=Homo sapiens GN=EMD PE=1 SV=1,0.3767,0.2477,0.2244,0.2842,0.3289,0.3072,0.2033,0.3262,0.2231,0.2451,0.2777,0.2761,12
HSPB1_HUMAN_P04792,Heat shock protein beta-1 OS=Homo sapiens GN=HSPB1 PE=1 SV=2,1.4533,1.3588,1.2495,1.0578,1.1374,0.9855,1.0771,1.236,0.7906,1.3334,1.308,1.1703,12
MCM2_HUMAN_P49736,DNA replication licensing factor MCM2 OS=Homo sapiens GN=MCM2 PE=1 SV=4,2.5867,2.2962,2.5297,1.3983,1.8706,1.9478,1.6399,2.4531,1.464,1.8613,1.7638,1.878,12
AT2A2_HUMAN_P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens GN=ATP2A2 PE=1 SV=1,3.8043,2.6918,3.7452,2.2265,1.7284,3.0295,3.0362,3.4399,2.8237,2.8713,3.1875,2.919,12
PABP2_HUMAN_Q86U42,Polyadenylate-binding protein 2 OS=Homo sapiens GN=PABPN1 PE=1 SV=3,0.153,0.1992,0.0953,0.1612,0.1612,0.1235,0.1307,0.0862,0.0686,0.1274,0.1253,0.1498,12
EFTU_HUMAN_P49411,Elongation factor Tu_ mitochondrial OS=Homo sapiens GN=TUFM PE=1 SV=2,1.9903,2.5904,2.0129,2.1793,2.2299,1.9455,2.5661,1.95,1.5676,2.3294,2.6286,2.2976,12
LAR4B_HUMAN_Q92615,La-related protein 4B OS=Homo sapiens GN=LARP4B PE=1 SV=3,0.4081,1.1811,0.5246,0.2698,0.3155,0.3714,0.4133,0.4113,0.3459,0.2929,0.2981,0.2983,12
CAZA1_HUMAN_P52907,F-actin-capping protein subunit alpha-1 OS=Homo sapiens GN=CAPZA1 PE=1 SV=3,0.9787,0.8167,0.7534,0.8235,0.8934,0.8509,0.8081,0.8497,0.5893,0.8588,0.8121,0.6954,12
SPSY_HUMAN_P52788,Spermine synthase OS=Homo sapiens GN=SMS PE=1 SV=2,0.7287,0.8731,0.5733,0.4404,0.4301,0.4582,0.6679,0.4323,0.3871,0.4433,0.616,0.5431,12
ATX2L_HUMAN_Q8WWM7,Ataxin-2-like protein OS=Homo sapiens GN=ATXN2L PE=1 SV=2,1.5757,1.0705,1.4957,0.7488,0.8006,0.778,0.786,0.86,0.7624,0.6812,0.8347,1.2891,12
PROF1_HUMAN_P07737,Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2,2.6823,2.738,2.6309,2.5168,2.8117,2.8727,2.9699,2.9425,2.4527,2.7381,2.8254,2.5804,12
VPS35_HUMAN_Q96QK1,Vacuolar protein sorting-associated protein 35 OS=Homo sapiens GN=VPS35 PE=1 SV=2,1.3768,1.4641,4.1834,1.1817,1.1562,1.4631,1.5116,1.8839,1.0329,1.5158,1.5563,1.4281,12
DHE3_HUMAN_P00367,Glutamate dehydrogenase 1_ mitochondrial OS=Homo sapiens GN=GLUD1 PE=1 SV=2,1.036,0.8178,0.885,0.8223,0.7818,0.7791,0.9731,0.9637,1.4425,0.7196,0.5632,1.3244,12
H0YDN1_HUMAN_H0YDN1,Plectin (Fragment) OS=Homo sapiens GN=PLEC PE=1 SV=8,0.2144,0.1957,0.1502,0.3656,0.3719,0.3184,0.5619,0.5106,0.3541,0.2684,0.2535,0.2495,12
SUGP2_HUMAN_Q8IX01,SURP and G-patch domain-containing protein 2 OS=Homo sapiens GN=SUGP2 PE=1 SV=2,1.5641,0.4593,0.1652,0.3851,0.2921,0.2413,1.0553,0.2563,0.3072,0.2679,0.2823,0.3284,12
PGK1_HUMAN_P00558,Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3,5.1559,6.4976,6.5784,8.6527,9.5179,10.0825,9.9209,5.8407,4.8927,9.1679,9.3387,8.7277,12
RAN_HUMAN_P62826,GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3,2.2068,1.8699,1.9144,1.5396,1.8334,1.7966,1.9253,1.9692,1.9508,1.7525,1.85,1.66,12
COPG1_HUMAN_Q9Y678,Coatomer subunit gamma-1 OS=Homo sapiens GN=COPG1 PE=1 SV=1,1.8941,2.5973,2.1238,0.9954,1.1765,1.1348,1.4449,1.5585,1.0747,1.4908,1.5123,1.9337,12
ADRM1_HUMAN_Q16186,Proteasomal ubiquitin receptor ADRM1 OS=Homo sapiens GN=ADRM1 PE=1 SV=2,0.9384,0.7489,1.1955,0.4741,0.5387,0.494,0.7395,0.6937,0.4076,0.8084,0.7031,0.6976,12
GLRX3_HUMAN_O76003,Glutaredoxin-3 OS=Homo sapiens GN=GLRX3 PE=1 SV=2,0.8747,0.7358,0.6458,0.6377,0.6233,0.6516,0.8829,0.9245,0.6726,0.712,0.6803,0.6121,12
RS3_HUMAN_P23396,40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2,2.7905,1.8868,1.9734,1.5056,1.6866,1.6073,1.9686,2.1331,1.6361,1.8691,1.5816,1.6084,12
DEK_HUMAN_P35659,Protein DEK OS=Homo sapiens GN=DEK PE=1 SV=1,1.2612,0.405,0.475,0.525,0.6316,0.5805,0.6652,0.3402,0.6036,0.5841,1.0742,0.3501,12
PFD5_HUMAN_Q99471,Prefoldin subunit 5 OS=Homo sapiens GN=PFDN5 PE=1 SV=2,0.1169,0.1694,0.1994,0.1634,0.1758,0.1815,0.2174,0.1674,0.1723,0.1666,0.1494,0.0787,12
SYEP_HUMAN_P07814,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5,5.418,3.4974,4.6327,3.2811,3.0667,3.3103,3.7277,3.377,2.8796,3.3036,3.3321,2.9345,12
TEBP_HUMAN_Q15185,Prostaglandin E synthase 3 OS=Homo sapiens GN=PTGES3 PE=1 SV=1,0.4673,0.5224,0.1824,0.4961,0.5541,0.6418,0.5746,0.4553,0.4773,0.5401,0.5312,0.3399,12
NDRG1_HUMAN_Q92597,Protein NDRG1 OS=Homo sapiens GN=NDRG1 PE=1 SV=1,0.4336,0.4475,0.3492,0.7353,0.8333,0.7127,0.6449,0.8366,0.4715,0.4251,0.4162,0.2164,12
SODC_HUMAN_P00441,Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2,0.3082,0.253,0.2367,0.1945,0.2749,0.2138,0.358,0.2045,0.3343,0.257,0.1627,0.2105,12
AP3B1_HUMAN_O00203,AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3,0.8182,0.7736,0.7893,0.5544,1.4596,0.5342,0.4586,0.6009,0.4211,0.4681,0.4908,0.3223,12
DREB_HUMAN_Q16643,Drebrin OS=Homo sapiens GN=DBN1 PE=1 SV=4,1.076,0.9289,1.1365,0.7613,0.8743,0.8421,1.0576,1.3055,0.936,1.0587,0.9714,0.9774,12
SRP72_HUMAN_O76094,Signal recognition particle subunit SRP72 OS=Homo sapiens GN=SRP72 PE=1 SV=3,0.833,0.6985,0.7131,0.5645,0.5263,0.4933,0.3868,0.4871,0.4214,0.6144,0.6395,0.5636,12
PDS5A_HUMAN_Q29RF7,Sister chromatid cohesion protein PDS5 homolog A OS=Homo sapiens GN=PDS5A PE=1 SV=1,0.5767,0.4622,0.5311,0.3231,0.3628,0.4943,0.3834,0.4844,0.2505,0.3953,0.3629,0.3864,12
SEC13_HUMAN_P55735,Protein SEC13 homolog OS=Homo sapiens GN=SEC13 PE=1 SV=3,0.3312,0.2569,0.3343,0.2984,0.3092,0.3104,0.3639,0.3331,0.2644,0.3671,0.3951,0.2941,12
RD23A_HUMAN_P54725,UV excision repair protein RAD23 homolog A OS=Homo sapiens GN=RAD23A PE=1 SV=1,0.5601,0.1334,0.211,0.1173,0.1369,0.1602,0.1128,0.2226,0.1221,0.2314,0.1105,0.0957,12
ODPA_HUMAN_P08559,Pyruvate dehydrogenase E1 component subunit alpha_ somatic form_ mitochondrial OS=Homo sapiens GN=PDHA1 PE=1 SV=3,0.4376,0.7287,0.6978,0.4214,0.4181,0.4201,0.531,0.5962,0.4455,0.5555,0.5473,0.459,12
DESM_HUMAN_P17661,Desmin OS=Homo sapiens GN=DES PE=1 SV=3,1.098,0.4871,0.1707,0.0429,0.0317,0.1891,0.0918,0.1432,0.0302,0.2416,1.9294,0.8048,12
IF4G2_HUMAN_P78344,Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens GN=EIF4G2 PE=1 SV=1,1.119,0.9591,1.0838,0.764,0.8013,0.8256,1.0406,1.0567,1.0139,0.8236,0.8964,0.8997,12
EEA1_HUMAN_Q15075,Early endosome antigen 1 OS=Homo sapiens GN=EEA1 PE=1 SV=2,6.4535,1.4579,1.5256,1.3421,1.2847,1.188,1.6558,1.528,3.6591,4.3818,1.317,1.5548,12
TBA1C_HUMAN_Q9BQE3,Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1,1.9939,1.7711,1.4222,1.4506,1.386,1.5289,1.9097,2.1152,1.2704,1.5395,1.3844,1.2835,12
IDHP_HUMAN_P48735,Isocitrate dehydrogenase [NADP]_ mitochondrial OS=Homo sapiens GN=IDH2 PE=1 SV=2,0.2429,0.3149,0.1658,0.2794,0.3176,0.3378,0.2535,0.2579,0.1355,0.4409,0.3959,0.4059,12
PALLD_HUMAN_Q8WX93,Palladin OS=Homo sapiens GN=PALLD PE=1 SV=3,0.6963,1.5593,0.6761,0.4052,0.8134,1.0405,1.0391,1.0293,0.5038,1.0574,17.4455,0.8895,12
1433B_HUMAN_P31946,14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB PE=1 SV=3,2.6265,2.4775,3.1461,1.8873,2.0965,2.0799,2.1827,2.321,1.8029,2.0277,2.0081,1.8765,12
SUMO2_HUMAN_P61956,Small ubiquitin-related modifier 2 OS=Homo sapiens GN=SUMO2 PE=1 SV=3,0.8169,0.8612,0.565,0.678,0.378,0.5102,0.8143,0.8927,0.6476,0.3967,0.3896,0.657,12
IF4B_HUMAN_P23588,Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=1 SV=2,1.6197,1.4567,1.5954,0.8936,1.2036,1.2603,0.8901,1.2574,1.0047,0.9614,0.974,0.886,12
PSB7_HUMAN_Q99436,Proteasome subunit beta type-7 OS=Homo sapiens GN=PSMB7 PE=1 SV=1,0.576,0.5459,0.2611,0.3935,0.5231,0.4806,0.6349,0.3993,0.2898,0.6999,0.662,0.6144,12
NTF2_HUMAN_P61970,Nuclear transport factor 2 OS=Homo sapiens GN=NUTF2 PE=1 SV=1,0.2801,0.27,0.4965,0.1564,0.2245,0.2596,0.2796,0.2477,0.2432,0.1692,0.1622,0.1357,12
DDX5_HUMAN_P17844,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1,2.6313,2.1976,0.5462,1.8852,1.9074,2.0724,2.0984,2.2433,1.6458,1.9943,1.9473,0.5085,12
CAND1_HUMAN_Q86VP6,Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2,3.5783,3.6092,2.7806,2.8264,3.2678,2.6703,3.1374,3.5682,1.5613,3.2256,3.135,2.9499,12
AASD1_HUMAN_Q9BTE6,Alanyl-tRNA editing protein Aarsd1 OS=Homo sapiens GN=AARSD1 PE=1 SV=2,0.2934,0.2534,0.1257,0.203,0.1434,0.1577,0.205,0.1055,0.0773,0.2021,0.2165,0.1935,12
AATC_HUMAN_P17174,Aspartate aminotransferase_ cytoplasmic OS=Homo sapiens GN=GOT1 PE=1 SV=3,0.8748,0.9288,1.0017,0.6137,0.6191,0.6549,0.7514,0.7792,0.5733,0.6968,0.7959,0.6714,12
F10A1_HUMAN_P50502,Hsc70-interacting protein OS=Homo sapiens GN=ST13 PE=1 SV=2,1.4575,2.8717,2.7907,1.8112,2.0515,1.9879,2.2631,2.8573,1.841,2.3961,2.1907,2.1691,12
YBOX3_HUMAN_P16989,Y-box-binding protein 3 OS=Homo sapiens GN=YBX3 PE=1 SV=4,2.176,1.9072,1.6458,1.3081,1.3397,1.5223,0.6801,2.1211,1.3378,1.748,1.5481,1.4431,12
TOM6_HUMAN_Q96B49,Mitochondrial import receptor subunit TOM6 homolog OS=Homo sapiens GN=TOMM6 PE=1 SV=1,0.0592,0.0655,0.0462,0.0759,0.0907,0.0894,0.0762,0.086,0.0606,0.1106,0.0886,0.1313,12
BRE1A_HUMAN_Q5VTR2,E3 ubiquitin-protein ligase BRE1A OS=Homo sapiens GN=RNF20 PE=1 SV=2,0.2899,0.4139,0.5654,0.8184,0.4368,0.1871,0.8826,0.466,0.4294,0.1918,1.3243,0.7524,12
SPAS2_HUMAN_Q86XZ4,Spermatogenesis-associated serine-rich protein 2 OS=Homo sapiens GN=SPATS2 PE=1 SV=1,0.6458,0.1319,0.138,0.3478,0.3469,0.2688,0.4168,0.2831,0.1012,0.2457,0.2391,0.3329,12
DDX21_HUMAN_Q9NR30,Nucleolar RNA helicase 2 OS=Homo sapiens GN=DDX21 PE=1 SV=5,1.6575,1.6571,1.9193,1.3433,1.5199,1.6435,1.1163,1.4909,1.3833,0.7499,1.012,1.4252,12
RBMX_HUMAN_P38159,RNA-binding motif protein_ X chromosome OS=Homo sapiens GN=RBMX PE=1 SV=3,1.2476,0.7419,0.7398,0.5443,0.8461,0.7675,0.7166,0.7546,0.6393,0.7713,0.7049,0.6435,12
DDX3Y_HUMAN_O15523,ATP-dependent RNA helicase DDX3Y OS=Homo sapiens GN=DDX3Y PE=1 SV=2,0.0942,1.3458,0.1301,1.4943,1.815,1.4696,1.6497,2.1419,1.3922,1.5775,0.1174,0.1083,12
PRS8_HUMAN_P62195,26S protease regulatory subunit 8 OS=Homo sapiens GN=PSMC5 PE=1 SV=1,1.0562,1.3807,1.2766,0.8609,0.9644,0.9969,0.9567,1.1512,0.8472,1.0984,1.0171,0.8587,12
RL29_HUMAN_P47914,60S ribosomal protein L29 OS=Homo sapiens GN=RPL29 PE=1 SV=2,0.7546,1.162,1.7414,0.8548,1.0837,1.1463,1.0981,0.6715,0.4593,1.1434,1.0719,1.1712,12
IF6_HUMAN_P56537,Eukaryotic translation initiation factor 6 OS=Homo sapiens GN=EIF6 PE=1 SV=1,2.2012,2.3261,2.231,2.012,2.7081,2.4345,2.4767,1.9726,1.2366,2.3437,2.2609,2.1775,12
CND1_HUMAN_Q15021,Condensin complex subunit 1 OS=Homo sapiens GN=NCAPD2 PE=1 SV=3,1.3588,1.4148,1.3365,0.9341,0.7933,1.2199,1.1706,1.3912,0.8873,1.4129,1.3297,1.3438,12
RS12_HUMAN_P25398,40S ribosomal protein S12 OS=Homo sapiens GN=RPS12 PE=1 SV=3,0.3164,0.2534,0.2467,0.3457,0.3417,0.3115,0.4518,0.3547,0.4011,0.3035,0.3254,0.2541,12
DYN2_HUMAN_P50570,Dynamin-2 OS=Homo sapiens GN=DNM2 PE=1 SV=2,1.1278,0.7925,0.583,0.6632,1.1507,0.7355,0.8775,0.7871,0.5916,1.15,0.7845,0.7217,12
CLIC1_HUMAN_O00299,Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4,2.633,2.5934,2.2505,4.7246,4.251,3.6635,4.9519,3.2336,2.4303,3.5013,3.075,2.8617,12
ARP3_HUMAN_P61158,Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3,0.8755,1.0059,0.77,0.7015,0.7573,0.7202,0.8328,0.8847,0.7051,0.6926,0.6961,0.6682,12
TCPB_HUMAN_P78371,T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4,4.3394,3.4481,3.3298,2.5495,2.9118,2.8429,3.9037,3.8376,2.8037,3.411,2.9397,2.8642,12
EXOS6_HUMAN_Q5RKV6,Exosome complex component MTR3 OS=Homo sapiens GN=EXOSC6 PE=1 SV=1,0.1193,0.151,0.1801,0.112,0.1652,0.2098,0.1125,0.2172,0.1613,0.1247,0.1634,0.1197,12
KAT3_HUMAN_Q6YP21,Kynurenine--oxoglutarate transaminase 3 OS=Homo sapiens GN=KYAT3 PE=1 SV=1,0.3252,0.2265,0.3703,0.1029,0.4107,0.1914,0.1886,0.4889,0.2797,0.1825,0.219,0.2292,12
TOP2A_HUMAN_P11388,DNA topoisomerase 2-alpha OS=Homo sapiens GN=TOP2A PE=1 SV=3,1.937,1.8765,1.8553,1.0006,1.212,1.1761,1.4631,1.5696,1.2633,1.64,1.593,2.3407,12
E5RHG8_HUMAN_E5RHG8,Elongin-C (Fragment) OS=Homo sapiens GN=ELOC PE=1 SV=1,0.149,0.2269,0.2688,0.1291,0.1295,0.1298,0.1983,0.2047,0.1562,0.2161,0.1354,0.2028,12
SFPQ_HUMAN_P23246,Splicing factor_ proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2,2.9915,2.3936,2.7604,1.8627,2.2481,2.0515,2.0827,2.5297,1.8793,2.1186,1.9393,1.8095,12
RUVB2_HUMAN_Q9Y230,RuvB-like 2 OS=Homo sapiens GN=RUVBL2 PE=1 SV=3,2.1922,1.6763,1.8819,1.0796,1.0268,0.9862,1.4232,1.7856,1.0908,1.3327,1.3044,1.1702,12
PSB2_HUMAN_P49721,Proteasome subunit beta type-2 OS=Homo sapiens GN=PSMB2 PE=1 SV=1,0.2942,0.2988,0.1439,0.2165,0.2127,0.2243,0.2496,0.2924,0.3218,0.2494,0.2446,0.231,12
CTNA1_HUMAN_P35221,Catenin alpha-1 OS=Homo sapiens GN=CTNNA1 PE=1 SV=1,2.4931,1.8382,2.4902,1.5051,1.3758,1.4812,1.961,1.876,1.098,1.9774,1.9946,1.6663,12
ANLN_HUMAN_Q9NQW6,Anillin OS=Homo sapiens GN=ANLN PE=1 SV=2,1.1985,0.7283,0.8813,0.2891,0.3593,0.3505,0.5115,0.4712,0.3713,0.4413,0.3122,0.4592,12
PSF3_HUMAN_Q9BRX5,DNA replication complex GINS protein PSF3 OS=Homo sapiens GN=GINS3 PE=1 SV=1,0.0743,0.0681,0.0678,0.0405,0.0581,0.0375,0.0537,0.0635,0.0456,0.0482,0.0478,0.0416,12
RINI_HUMAN_P13489,Ribonuclease inhibitor OS=Homo sapiens GN=RNH1 PE=1 SV=2,1.947,1.8184,1.7989,1.2773,1.3552,1.3296,1.5833,1.7326,1.3027,1.5385,1.5257,1.4087,12
LSM2_HUMAN_Q9Y333,U6 snRNA-associated Sm-like protein LSm2 OS=Homo sapiens GN=LSM2 PE=1 SV=1,0.1169,0.2881,0.2491,0.3264,0.5229,0.4219,0.4413,0.2703,0.0962,0.33,0.2615,0.1967,12
PICAL_HUMAN_Q13492,Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens GN=PICALM PE=1 SV=2,1.6305,0.934,0.9689,1.4228,1.4248,1.3499,1.6971,0.7798,0.9925,0.9783,0.848,0.6507,12
LARP1_HUMAN_Q6PKG0,La-related protein 1 OS=Homo sapiens GN=LARP1 PE=1 SV=2,1.3346,1.4143,0.8029,0.6133,0.8182,0.8371,0.6906,1.1597,0.8649,0.6861,0.6877,0.2623,12
SYK_HUMAN_Q15046,Lysine--tRNA ligase OS=Homo sapiens GN=KARS PE=1 SV=3,1.0338,1.2086,1.7714,0.9261,1.1774,1.4188,1.2618,1.4714,1.0637,0.9122,1.4892,1.0923,12
EIF3D_HUMAN_O15371,Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens GN=EIF3D PE=1 SV=1,0.7651,0.5752,0.4931,0.7865,0.703,0.6357,0.6959,0.5874,0.6722,0.5601,0.5615,0.4697,12
FUBP1_HUMAN_Q96AE4,Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1 PE=1 SV=3,2.0133,1.6441,2.0957,1.0893,1.2179,1.2262,2.1473,1.8816,1.9108,1.2155,1.2333,1.1365,12
UBP2L_HUMAN_Q14157,Ubiquitin-associated protein 2-like OS=Homo sapiens GN=UBAP2L PE=1 SV=2,1.2208,2.0063,1.8131,1.4241,0.9648,1.4503,0.9984,1.1407,0.7484,1.5397,0.9237,1.3608,12
CD97_HUMAN_P48960,CD97 antigen OS=Homo sapiens GN=CD97 PE=1 SV=4,0.6559,1.0936,0.8207,1.0354,1.3696,1.3327,0.5674,0.5364,0.3639,1.1217,0.5301,0.8344,12
AL9A1_HUMAN_P49189,4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens GN=ALDH9A1 PE=1 SV=3,0.967,0.7292,0.8749,0.5206,0.5855,0.6004,0.7806,0.8388,0.647,0.7412,0.785,0.6716,12
TX1B3_HUMAN_O14907,Tax1-binding protein 3 OS=Homo sapiens GN=TAX1BP3 PE=1 SV=2,0.3648,0.3072,0.3661,0.2992,0.527,0.2619,0.4783,0.5061,0.2663,0.3627,0.5249,0.3582,12
SMC4_HUMAN_Q9NTJ3,Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4 PE=1 SV=2,2.0582,1.8313,4.286,1.0186,2.9333,1.1609,5.6863,3.6663,1.1298,1.4619,1.3546,1.4491,12
PDIA3_HUMAN_P30101,Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4,5.0517,4.1278,4.625,2.9766,3.5267,3.5363,3.7232,4.9007,3.2913,3.9511,3.7207,3.6625,12
FXR1_HUMAN_P51114,Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens GN=FXR1 PE=1 SV=3,0.935,1.115,0.8924,0.6087,0.5758,0.5351,0.6047,0.6858,0.5378,0.6309,0.5307,0.5759,12
HSP72_HUMAN_P54652,Heat shock-related 70 kDa protein 2 OS=Homo sapiens GN=HSPA2 PE=1 SV=1,0.8285,5.8693,5.9185,5.9712,5.6011,6.0721,6.525,7.6168,6.1796,5.2157,5.0005,4.1235,12
MBOA7_HUMAN_Q96N66,Lysophospholipid acyltransferase 7 OS=Homo sapiens GN=MBOAT7 PE=1 SV=2,0.5439,0.4154,0.6714,0.371,0.4243,0.3369,0.3731,0.463,0.2631,0.366,0.3104,0.3554,12
METK2_HUMAN_P31153,S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens GN=MAT2A PE=1 SV=1,0.2473,0.2126,0.255,0.2162,0.1684,0.2072,0.2642,0.2775,0.238,0.2983,0.1817,0.1934,12
SYWC_HUMAN_P23381,Tryptophan--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2,0.4247,0.4028,0.318,0.3244,0.4417,0.377,0.4115,0.3617,0.1589,0.3742,0.4045,0.2232,12
